"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.qxmlmoodle","src/fr/qxmlmoodle/Category.java","5","68","Found 'DD'-anomaly for variable 'bImportOk' (lines '68'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"2","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'31').","Controversial Rules","DataflowAnomalyAnalysis"
"3","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'32').","Controversial Rules","DataflowAnomalyAnalysis"
"4","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'33').","Controversial Rules","DataflowAnomalyAnalysis"
"5","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'34').","Controversial Rules","DataflowAnomalyAnalysis"
"6","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'35').","Controversial Rules","DataflowAnomalyAnalysis"
"7","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'36').","Controversial Rules","DataflowAnomalyAnalysis"
"8","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","29","Found 'DD'-anomaly for variable 'ques' (lines '29'-'37').","Controversial Rules","DataflowAnomalyAnalysis"
"9","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","47","Found 'DD'-anomaly for variable 'ques' (lines '47'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"10","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","47","Found 'DD'-anomaly for variable 'ques' (lines '47'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"11","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","47","Found 'DD'-anomaly for variable 'ques' (lines '47'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"12","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","67","Found 'DD'-anomaly for variable 'bTypeFound' (lines '67'-'73').","Controversial Rules","DataflowAnomalyAnalysis"
"13","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","68","Found 'DD'-anomaly for variable 'typeReturn' (lines '68'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"14","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","69","Found 'DD'-anomaly for variable 'typeRet' (lines '69'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"15","fr.qxmlmoodle","src/fr/qxmlmoodle/QuestionList.java","5","71","Found 'DU'-anomaly for variable 'typeRet' (lines '71'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"16","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","64","Found 'DD'-anomaly for variable 'bImportOK' (lines '64'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"17","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","85","Found 'DD'-anomaly for variable 'bExportOK' (lines '85'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"18","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","85","Found 'DD'-anomaly for variable 'bExportOK' (lines '85'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"19","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","85","Found 'DD'-anomaly for variable 'bExportOK' (lines '85'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"20","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","88","Found 'DD'-anomaly for variable 'bExportOK' (lines '88'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"21","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","88","Found 'DD'-anomaly for variable 'bExportOK' (lines '88'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"22","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","92","Found 'DU'-anomaly for variable 'currentCat' (lines '92'-'120').","Controversial Rules","DataflowAnomalyAnalysis"
"23","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","102","Found 'DU'-anomaly for variable 'currentCat' (lines '102'-'120').","Controversial Rules","DataflowAnomalyAnalysis"
"24","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","114","Found 'DD'-anomaly for variable 'result' (lines '114'-'117').","Controversial Rules","DataflowAnomalyAnalysis"
"25","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","129","Found 'DD'-anomaly for variable 'saveOk' (lines '129'-'136').","Controversial Rules","DataflowAnomalyAnalysis"
"26","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","130","Found 'DD'-anomaly for variable 'file' (lines '130'-'142').","Controversial Rules","DataflowAnomalyAnalysis"
"27","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","130","Found 'DU'-anomaly for variable 'file' (lines '130'-'169').","Controversial Rules","DataflowAnomalyAnalysis"
"28","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","131","Found 'DD'-anomaly for variable 'fileWrite' (lines '131'-'143').","Controversial Rules","DataflowAnomalyAnalysis"
"29","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","152","Found 'DD'-anomaly for variable 'saveOk' (lines '152'-'154').","Controversial Rules","DataflowAnomalyAnalysis"
"30","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","154","Found 'DD'-anomaly for variable 'saveOk' (lines '154'-'156').","Controversial Rules","DataflowAnomalyAnalysis"
"31","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","156","Found 'DD'-anomaly for variable 'saveOk' (lines '156'-'162').","Controversial Rules","DataflowAnomalyAnalysis"
"32","fr.qxmlmoodle","src/fr/qxmlmoodle/Quiz.java","5","195","Found 'DD'-anomaly for variable 'retCat' (lines '195'-'199').","Controversial Rules","DataflowAnomalyAnalysis"
